"id";"id_str";"followers_count";"created_at";"updated_at"
7783;"863587335757336585";1393;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7784;"794866608";3945;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7785;"140480459";40544;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7786;"2670726740";2648198;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7787;"97445850";1536;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7788;"179147542";242;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7789;"44251759";7311;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7790;"167968053";45;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7791;"1155204531942301698";146;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7792;"1335942718040793091";440;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7793;"2773697022";47;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7794;"863587335757336585";1393;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7795;"1350454263386959872";18;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7796;"133284193";84;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7797;"119373950";54;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7798;"2793462577";1618;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7799;"97445850";1536;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7800;"48515258";3577;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7801;"54627754";11119;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7802;"2654800357";3971;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7803;"794866608";3945;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7804;"33014349";5632;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7805;"163165805";1452;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7806;"1081389350137532416";63;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7807;"823535524610797569";366;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
7808;"33014349";5632;"2021-07-08 20:40:43";"2021-07-08 20:40:43"
